1. W|carlos|i pahar 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
943. W|carmel|private collection cabernet merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=942
944. W|carmel|private collection cabernet sauvignon israeli dry red wine|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
945. W|carmel|private collection chardonnay 20|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
946. W|carmel|private collection chardonnay damaged label|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
947. W|carmel|private collection merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
948. W|carmel|private collection moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
949. W|carmel|private collection moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=948
950. W|carmel|private collection moscato|??|w|moscato|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
951. W|carmel|private collection moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=948
952. W|carmel|private collection muscat|??|w|muscat|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
953. W|carmel|private collection muscat 2021 dessert wine|??|w|muscat|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
954. W|carmel|private collection pink moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
955. W|carmel|private collection pink moscato 24|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
956. W|carmel|private collection rose|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
957. W|carmel|private collection rose damaged label|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
958. W|carmel|private collection shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
959. W|carmel|private collection shiraz|??|r|shiraz|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
960. W|carmel|private collection shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
961. W|carmel|private collection shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
962. W|carmel|private collection winemakers blend 2018 red dry wine|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
963. W|carmel|private collection winemakers blend israeli dry red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
964. W|carmel|red blend ltd edition galilee|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
965. W|carmel|red blend selected|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
966. W|carmel|road|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
967. W|carmel|road|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
968. W|carmel|road 2022 sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
969. W|carmel|road cabernet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
970. W|carmel|road cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
971. W|carmel|road cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=970
972. W|carmel|road cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=970
973. W|carmel|road cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=970
974. W|carmel|road cabernet sauvignon 135|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
975. W|carmel|road cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
976. W|carmel|road cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=975
977. W|carmel|road cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
978. W|carmel|road cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=977
979. W|carmel|road cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
980. W|carmel|road cabernet sauvignon california|us|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
981. W|carmel|road california chardonnay|us|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
982. W|carmel|road california pinot noir|us|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
983. W|carmel|road central coast pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
984. W|carmel|road chard unoaked monterey|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
985. W|carmel|road chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
986. W|carmel|road chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=985
987. W|carmel|road chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=985
988. W|carmel|road chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=985
989. W|carmel|road chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=985
990. W|carmel|road chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
991. W|carmel|road chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=990
992. W|carmel|road chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
993. W|carmel|road chardonnay monterey|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
994. W|carmel|road chardonnay monterey|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=993
995. W|carmel|road chardonnay monterey county|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
996. W|carmel|road chardonnay unoaked|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
997. W|carmel|road chardonnay unoaked|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=996
998. W|carmel|road chardonnay unoaked|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=996
999. W|carmel|road monterey 2022 pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
1000. W|carmel|road monterey chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
