W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco
W|veuve clicquot ponsardin|brut rose|??|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco
W|veuve clicquot ponsardin|brut released in 1990s nv 1mag|??|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve clicquot ponsardin|brut pezsgo 075|??|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve clicquot ponsardin|brut old nv|??|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve clicquot ponsardin|brut old magnum nv|??|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve clicquot ponsardin|brut old disgorged nv 1|??|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve clicquot ponsardin|brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve clicquot ponsardin|brut magnum champagne frankreich|fr|s|??|champagne|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve clicquot ponsardin|brut gb 15|??|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve clicquot ponsardin|brut gb 075|??|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve clicquot ponsardin|brut franta|??|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
