W|vino|espumoso blanco rgny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cousino macul don luis cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cousino macul antiguas reservas merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cousino macul antiguas reservas chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|cousino macul antiguas reservas cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|coto rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|coto de imaz reserva 1996|??|r|??|??|??|1996|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|coto crianza tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|coto crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|coto blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|coto blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=942
W|vino|cote des roses rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|cote des roses rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=944
W|vino|cote des roses rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=944
W|vino|cote des roses rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=944
W|vino|cote des roses pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cote des roses chardonnay botella|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|cote des roses chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|cordero con piel de lobo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cordero con piel de lobo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|copero de casalla blanco seco patrimonial 12 de alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|contraste reserva selecta blend|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|contino vina del olivo 2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|cono sur reserva especial merlot 750cc|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|cono sur bicicleta rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|cono sur bicicleta reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|cono sur bicicleta reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=958
W|vino|cono sur bicicleta reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|cono sur bicicleta reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|cono sur bicicleta reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|cono sur bicicleta reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=962
W|vino|conde valdemar tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|conde valdemar reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|conde valdemar crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|conde valdemar crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=966
W|vino|condado de haza crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|condado de haza crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=968
W|vino|condado de haza crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=968
W|vino|condado de haza crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=968
W|vino|condado de haza crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=968
W|vino|condado de haza crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=968
W|vino|condado de haza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|concreto malbec magnum 1 2014|??|r|malbec|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|compuesto sanson|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|comalats esparver organico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|comalats alosa tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|colonia las liebres reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|colonia las liebres bonarda clasica organica|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|colonia las liebres bonarda clasica|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|colome estate malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|colome altura maxima malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|colome altura maxima malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=983
W|vino|cobos cocodrilo corte red wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|clos montblanc unic chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|clos de pirque tinto|cl|r|??|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|clos de pirque tinto|cl|r|??|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=987
W|vino|clos de pirque merlot|cl|r|merlot|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|clos de pirque merlot|cl|r|merlot|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=989
W|vino|clos de pirque cabernet s|cl|r|??|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|clos de pirque blanco|cl|r|??|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|clos de pirque blanco|cl|r|??|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=992
W|vino|clos de pirque blanco|cl|r|??|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=992
W|vino|clos de pirque blanco|cl|r|??|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=992
W|vino|cloe blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|clarete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ciro 1964|??|r|??|??|??|1964|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ciro 1964|??|r|??|??|??|1964|13.5|??|medio|carnes vermelhas; queijos curados|??|=998
W|vino|cigalus rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
