1. W|carema|doc vigne alte 2022 sorpasso|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
928. W|carinyena|de muller|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
929. W|cariocamaped|12 209|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
930. W|cariocas|6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
931. W|carioce|12culori der grune punkt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
932. W|carioce|51buc longdi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
933. W|carioce|cu stampile 10 culori colorino patio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
934. W|carioci|10 culori duble italent|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
935. W|carioci|10 culori scented|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
936. W|carioci|12 culori dungi albe italent|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
937. W|carisma|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
938. W|carisma|chardonnay ticino doc|??|w|chardonnay|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
939. W|carisma|sweet syrah mendocino|??|d|syrah|??|??|2022|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce
940. W|carisma|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
941. W|carisma|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=940
942. W|carissima|granatapfel sauerkirsch aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
943. W|carissimae|cuvee|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
944. W|cariston|de vie weincocktail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
945. X
946. W|carita|navidena bc x 80 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
947. W|caritas|0|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
948. W|carizza|insolia sicilia doc|it|r|??|sicilia|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
949. W|carjcanti|gulfi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
950. W|carjcanti|organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
951. W|carjcanti|terre siciliane igt|it|r|??|sicilia|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
952. W|carjicanti|carjicanti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
953. W|carkfelek|sosu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
954. W|carl|doc|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
955. W|carl|ehrhard back to the roots riesling feinherb|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
956. W|carl|ehrhard back to the roots riesling feinherb bio|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
957. W|carl|ehrhard back to the roots riesling feinherb bio|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=956
958. W|carl|ehrhard berg roseneck kabinett riesling|??|p|riesling|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
959. W|carl|ehrhard berg roseneck riesling kabinett|??|p|riesling|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
960. W|carl|ehrhard berg roseneck riesling trocken|??|p|riesling|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
961. W|carl|ehrhard berg roseneck riesling trocken|??|p|riesling|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
962. W|carl|ehrhard berg roseneck riesling trocken bio|??|p|riesling|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
963. W|carl|ehrhard berg roseneck riesling trocken bio|??|p|riesling|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=962
964. W|carl|ehrhard berg roseneck spatburgunder|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
965. W|carl|ehrhard berg rottland auslese|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
966. W|carl|ehrhard berg rottland riesling spatlese|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
967. W|carl|ehrhard berg rottland riesling spatlese|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=966
968. W|carl|ehrhard berg rottland riesling spatlese|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
969. W|carl|ehrhard berg rottland riesling spatlese bio|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
970. W|carl|ehrhard berg rottland riesling spatlese bio|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=969
971. W|carl|ehrhard blanc de noirs spatburgunder|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
972. W|carl|ehrhard blanc de noirs spatburgunder rheingau|de|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
973. W|carl|ehrhard herr ehrhard unfiltered riesling trocken|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
974. W|carl|ehrhard herr ehrhard unfiltered riesling trocken|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=973
975. W|carl|ehrhard old school riesling trocken|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
976. W|carl|ehrhard riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
977. W|carl|ehrhard riesling frau ehrhard naturlich trocken|??|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
978. W|carl|ehrhard wein paket|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
979. W|carl|everson cape blend|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
980. W|carl|everson cape blend 2022 x 6|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
981. W|carl|everson cape red blend x6|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
982. W|carl|everson chenin blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
983. W|carl|everson chenin blanc 2023 x 6|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
984. W|carl|everson vertical case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
985. W|carl|graff graacher himmelreich riesling 23|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
986. W|carl|graff graacher himmelreich riesling spatlese|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
987. W|carl|graff graacher riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
988. W|carl|graff kabinett riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
989. W|carl|graff mosel kabinett riesling|de|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
990. W|carl|graff mosel riesling kabinett|de|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
991. W|carl|graff mosel riesling kabinett|de|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=990
992. W|carl|graff mosel riesling spatlese|de|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
993. W|carl|graff riesling kabinett|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
994. W|carl|graff riesling kabinett|??|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
995. W|carl|graff riesling kabinett|??|w|riesling|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
996. W|carl|graff riesling kabinett|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
997. W|carl|graff riesling kabinett mosel germany|de|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
998. W|carl|graff riesling qba|??|w|riesling|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
999. W|carl|graff riesling spatlese|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
1000. S
