W|fugue de nenin|aoc pomerol 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|do|porto royal oporto 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto rose marthas pink|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ramos pinto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta santa eufemia white dry|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta santa eufemia fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do vallado tawny 30 anos douro|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do vallado tawny 20 anos douro|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do vallado tawny 10 anos douro|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do portal porto alegre tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do portal porto alegre ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do noval lbv unfiltered|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do noval fine ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do noval extra seco branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do noval 40 anos tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do noval 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do noval 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta do crasto 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta das carvalhas reserva tawny|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto quinta das carvalhas 50 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto porttable tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto porttable tawny branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto porttable reserva tinto|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto porttable lbv tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto pocas ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto pocas ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto piano fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto noval tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto noval tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=918
W|do|porto niepoort vintage 2017 douro|pt|f|palomino|douro|??|2017|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto niepoort vintage 2017 douro|pt|f|palomino|douro|??|2017|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=920
W|do|porto niepoort vintage 2017 douro|pt|f|palomino|douro|??|2017|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=920
W|do|porto niepoort vintage 2005 douro|pt|f|palomino|douro|??|2005|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto niepoort tawny douro|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto niepoort 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto messias tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=927
W|do|porto messias tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=927
W|do|porto messias ruby doce|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto messias ruby 03 unidades|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto messias ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto messias ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=932
W|do|porto messias 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto messias 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto messias 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=935
W|do|porto licoroso rose quinta santa eufemia|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto kopke colheita 1966 douro|pt|f|palomino|douro|??|1966|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto kopke 50 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto intermares tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto grahams lbv 2020 douro|pt|f|palomino|douro|??|2020|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto grahams fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto grahams 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto fonseca vintage 2003|??|f|palomino|??|??|2003|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto fonseca vintage 2000|??|f|palomino|??|??|2000|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto fonseca ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto fonseca 20 anos tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto fonseca 10 anos tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto fine ruby sandeman|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ferreira white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ferreira tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ferreira tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=951
W|do|porto ferreira ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ferreira ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=953
W|do|porto ferreira ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=953
W|do|porto ferreira branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ferreira branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=956
W|do|porto ferreira branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=956
W|do|porto ferreira branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=956
W|do|porto ferreira branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=956
W|do|porto dows fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dows fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dows fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=962
W|do|porto dows fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dona antonia reserva tawny|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dom manuel tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dom manuel ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dom jose tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dom jose tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=968
W|do|porto dom jose tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=968
W|do|porto dom jose ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dom jose ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=971
W|do|porto dom jose ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=971
W|do|porto delaforce fine tawny port|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto delaforce fine tawny port|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=974
W|do|porto dalva colheita 2015|??|f|palomino|??|??|2015|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 2007|??|f|palomino|??|??|2007|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 2004|??|f|palomino|??|??|2004|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 2001|??|f|palomino|??|??|2001|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 1999|??|f|palomino|??|??|1999|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 1995|??|f|palomino|??|??|1995|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 1994|??|f|palomino|??|??|1994|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 1994|??|f|palomino|??|??|1994|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=982
W|do|porto dalva colheita 1991|??|f|palomino|??|??|1991|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 1990|??|f|palomino|??|??|1990|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 1985|??|f|palomino|??|??|1985|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto dalva colheita 1985|??|f|palomino|??|??|1985|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=986
W|do|porto dalva colheita 1982|??|f|palomino|??|??|1982|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto cruz tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto cruz especial reserva|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto cruz 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto croft ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto croft reserva tawny|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto croft pink|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto croft fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ceremony tawny desconto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ceremony tawny desconto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=996
W|do|porto ceremony tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ceremony tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ceremony tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=999
W|do|porto ceremony tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=999
W|do|porto ceremony tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=999
W|do|porto ceremony ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|do|porto ceremony ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=1003
