W|valdespino|la especial miraflores 2016|es|f|palomino|andalucia|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|vega sicilia|valbuena 5 1997|it|r|??|sicilia|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|vega sicilia|valbuena|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
X|=226
X|=226
W|valbona|verdicchio di matelica doc 2021|it|w|verdicchio|marche|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|valbona|verdicchio di matelica|it|w|verdicchio|marche|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
X|=226
W|ca di mat|valautin garnacha 2018 ca di mat sierra de gredos spain 75cl|es|r|garnacha|sierra de gredos|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ca di mat|valautin garnacha 2018|es|r|garnacha|sierra de gredos|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ca di mat|valautin abillo 2020|es|w|??|sierra de gredos|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valaron|sauvignon blanc 2024|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
W|valandraud|saintemilion grand cru 1993 1|fr|r|??|bordeaux|??|1993|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|saintemilion grand cru|fr|r|??|bordeaux|??|NV|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|saint emilion 1997 0750 bordeaux frankrijk|fr|r|??|bordeaux|saint-emilion|1997|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|blanc 2022|fr|w|??|bordeaux|??|2022|12.5|AOC|encorpado|peixes, frutos do mar, saladas|seco
W|valandraud|blanc 2021|fr|w|??|bordeaux|??|2021|12.5|AOC|encorpado|peixes, frutos do mar, saladas|seco
W|valandraud|blanc|fr|w|??|bordeaux|??|NV|12.5|AOC|encorpado|peixes, frutos do mar, saladas|seco
W|valandraud|blanc|fr|w|??|bordeaux|??|NV|12.5|AOC|encorpado|peixes, frutos do mar, saladas|seco|=937
W|valandraud|2020 stemilion cb6|fr|r|??|bordeaux|??|2020|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|2020 stemilion cb3|fr|r|??|bordeaux|??|2020|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|2019 stemilion cb6|fr|r|??|bordeaux|??|2019|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|2018|fr|r|??|bordeaux|??|2018|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|2018|fr|r|??|bordeaux|??|2018|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco|=942
W|valandraud|2017|fr|r|??|bordeaux|??|2017|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|2016|fr|r|??|bordeaux|??|2016|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|2005|fr|r|??|bordeaux|??|2005|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|2005|fr|r|??|bordeaux|??|2005|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco|=946
W|valandraud|2002|fr|r|??|bordeaux|??|2002|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|2001 st emilion|fr|r|??|bordeaux|??|2001|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|2000|fr|r|??|bordeaux|??|2000|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1er grand cru classe saintemilion 2022|fr|r|??|bordeaux|??|2022|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1er grand cru classe saintemilion 2021|fr|r|??|bordeaux|??|2021|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1er grand cru classe saintemilion 2020|fr|r|??|bordeaux|??|2020|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1er grand cru classe saintemilion 2018|fr|r|??|bordeaux|??|2018|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1er grand cru classe saintemilion 2017|fr|r|??|bordeaux|??|2017|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1er grand cru classe saintemilion 2017|fr|r|??|bordeaux|??|2017|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco|=955
W|valandraud|1er grand cru classe saintemilion 2014|fr|r|??|bordeaux|??|2014|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1er grand cru classe saintemilion 2014|fr|r|??|bordeaux|??|2014|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco|=957
W|valandraud|1er grand cru classe saintemilion 2013|fr|r|??|bordeaux|??|2013|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1er grand cru classe saintemilion 2013|fr|r|??|bordeaux|??|2013|13.5|1er Grand Cru Classe|encorpado|carnes vermelhas, massas, queijos curados|seco|=959
W|valandraud|1999|fr|r|??|bordeaux|??|1999|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1998|fr|r|??|bordeaux|??|1998|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1998|fr|r|??|bordeaux|??|1998|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco|=962
W|valandraud|1993|fr|r|??|bordeaux|??|1993|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud|1992|fr|r|??|bordeaux|??|1992|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud||fr|r|??|bordeaux|??|NV|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valandraud||fr|r|??|bordeaux|??|NV|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco|=966
W|valanda|cava brut nature|es|s|??|cava|??|NV|12|DO|leve|aperitivos, frutos do mar, canapes|brut nature
W|valanda|cava brut nature|es|s|??|cava|??|NV|12|DO|leve|aperitivos, frutos do mar, canapes|brut nature|=968
W|valanda|cava brut nature|es|s|??|cava|??|NV|12|DO|leve|aperitivos, frutos do mar, canapes|brut nature|=968
W|valance|napa cabernet sauvignon 2001|us|r|cabernet sauvignon|napa valley|??|2001|13.5|AVA|encorpado|carnes vermelhas, massas, queijos curados|seco
X|=226
X|=226
W|valaisanne|blanche ew 4 pack x 033 liter|ch|w|??|valais|??|NV|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|cave des amandiers|valais syrah 2019 cave des amandiers|ch|r|syrah|valais|??|2019|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cave des amandiers|valais syrah 2017 cave des amandiers|ch|r|syrah|valais|??|2017|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
X|=226
W|cave des amandiers|valais rouge syrah 2016 cave des amandiers 2016 cave des amandiers|ch|r|syrah|valais|??|2016|13.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cave des amandiers|valais rouge cornalin 2015 cave des amandiers 2015 cave des amandiers|ch|r|cornalin|valais|??|2015|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valais|riesling x sylvaner|ch|w|riesling|valais|??|NV|10.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|cave des amandiers|valais petite arvine de fully les seyes 2021 cave des amandiers|ch|w|petite arvine|valais|fully|2021|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|cave des amandiers|valais petite arvine de fully les seyes 2019 cave des amandiers|ch|w|petite arvine|valais|fully|2019|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|valais|mundi electus aoc valais 2017|ch|w|??|valais|??|2017|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valais|mundi eclat aoc valais provins 20212022|ch|w|??|valais|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valais|mundi eclat aoc valais provins 2018|ch|w|??|valais|??|2018|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valais|mundi eclat aoc valais provins|ch|w|??|valais|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valais|mundi eclat aoc valais 2018|ch|w|??|valais|??|2018|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
X|=226
X|=226
W|caroline frey|valais maison lederrey 2023 caroline frey|ch|r|??|valais|??|2023|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|caroline frey|valais les grains noirs de mon jardin secret 2023 caroline frey|ch|r|??|valais|??|2023|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|caroline frey|valais les grains blancs de mon jardin secret 2023 caroline frey|ch|w|??|valais|??|2023|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|caroline frey|valais les grains blancs de mon jardin secret 2022 caroline frey|ch|w|??|valais|??|2022|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|caroline frey|valais les grains blancs de mon jardin secret 2021 caroline frey|ch|w|??|valais|??|2021|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|caroline frey|valais le chalet de mon jardin secret 2022 caroline frey|ch|r|??|valais|??|2022|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|caroline frey|valais la petite arvine de mon jardin secret 2021 caroline frey|ch|w|petite arvine|valais|??|2021|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|caroline frey|valais gamay de mon jardin secret 2021 caroline frey|ch|r|gamay|valais|??|2021|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valais|fendant|ch|w|fendant|valais|??|NV|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|valais|dor heida|ch|w|heida|valais|??|NV|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|cave des amandiers|valais cornalin 2018 cave des amandiers|ch|r|cornalin|valais|??|2018|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|cave des amandiers|valais blanc petite arvine de fully les seyes 2018 cave des amandiers 2018 cave des amandiers|ch|w|petite arvine|valais|fully|2018|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|cave des amandiers|valais blanc petite arvine de fully 2018 cave des amandiers 2018 cave des amandiers|ch|w|petite arvine|valais|fully|2018|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|valais|a swiss paradise for wine explorers with simon hardy and anouck dann friday 10th march|ch|w|??|valais|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
S|=650
