1. W|cappellano|barolo otin fiorin pie rupestris piemonte italy|it|r|??|piemonte|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
948. W|capricioasa|capricioasa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
949. W|caprico|de souson|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
950. W|capricorn|capricorn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
951. W|capricorn|av stick highpower vibrator|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
952. W|capricorn|zodiac enamel keychain|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
953. W|capricorni|el cielo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
954. W|capricorni|oro concours mondial de bruxelles cmb|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
955. W|capricornius|capricornius|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
956. W|capricornius|capricornius|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=955
957. W|capricornius|capricornius|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=955
958. W|capricornius|chardonnay 136|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
959. S
960. W|capridor|extra szardiniai erlelt kecskesajt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
961. W|caprihom|steel soccer goal 24 x 8 for backyard portable professional training goal 197 frame|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
962. W|caprile|lorenzo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
963. W|caprili|caprili|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
964. W|caprili|brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
965. W|caprili|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
966. W|caprili|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
967. W|caprili|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
968. W|caprili|adalberto brunello di montalcino riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
969. W|caprili|adalberto brunello di montalcino riserva|it|r|??|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
970. W|caprili|adalberto riserva brunello di montalcino docg 2016 vino rosso|it|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
971. W|caprili|brunello|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
972. W|caprili|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
973. W|caprili|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=972
974. W|caprili|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=972
975. W|caprili|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=972
976. W|caprili|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=972
977. W|caprili|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=972
978. W|caprili|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=972
979. W|caprili|brunello di montalcino|it|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
980. W|caprili|brunello di montalcino|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
981. W|caprili|brunello di montalcino|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
982. W|caprili|brunello di montalcino|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
983. W|caprili|brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=964
984. W|caprili|brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
985. W|caprili|brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=984
986. W|caprili|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=965
987. W|caprili|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=965
988. W|caprili|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=965
989. W|caprili|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=965
990. W|caprili|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=965
991. W|caprili|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
992. W|caprili|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=991
993. W|caprili|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=991
994. W|caprili|brunello di montalcino 2019 mg|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
995. W|caprili|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=966
996. W|caprili|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=966
997. W|caprili|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=966
998. W|caprili|brunello di montalcino brunello di montalcino docg 2018 vino rosso|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
999. W|caprili|brunello di montalcino brunello di montalcino dop 2020 vino rosso|it|r|??|??|??|2020|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
1000. W|caprili|brunello di montalcino docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
