1. W|jean|fournier marsannay clos du roy|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
930. W|jean|louis chave hermitage blanc|??|w|??|??|??|2000|12.5|??|medio|peixes, frutos do mar, saladas|seco|=929
931. W|jean|louis chave hermitage blanc|??|w|??|??|??|2002|12.5|??|medio|peixes, frutos do mar, saladas|seco
932. W|jean|louis chave hermitage blanc|??|w|??|??|??|2008|12.5|??|medio|peixes, frutos do mar, saladas|seco
933. W|jean|louis chave hermitage blanc|??|w|??|??|??|2008|12.5|??|medio|peixes, frutos do mar, saladas|seco|=932
934. W|jean|louis chave hermitage blanc|??|w|??|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
935. W|jean|louis chave hermitage blanc|??|w|??|??|??|2010|12.5|??|medio|peixes, frutos do mar, saladas|seco
936. W|jean|louis chave hermitage blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
937. W|jean|louis chave hermitage blanc magnum|??|w|??|??|??|2003|12.5|??|medio|peixes, frutos do mar, saladas|seco
938. W|jean|louis chave hermitage blanc magnum|??|w|??|??|??|2006|12.5|??|medio|peixes, frutos do mar, saladas|seco
939. W|jean|louis chave hermitage blanc magnum|??|w|??|??|??|2007|12.5|??|medio|peixes, frutos do mar, saladas|seco
940. W|jean|louis chave hermitage blanc magnum|??|w|??|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
941. W|jean|louis chave hermitage rouge|??|r|??|??|??|1980|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
942. W|jean|louis chave hermitage rouge|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
943. W|jean|louis chave hermitage rouge|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
944. W|jean|louis chave hermitage rouge|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
945. W|jean|louis chave hermitage rouge|??|r|??|??|??|2006|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
946. W|jean|louis chave hermitage rouge|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
947. W|jean|louis chave hermitage rouge|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
948. W|jean|louis chave hermitage rouge|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=947
949. W|jean|louis chave hermitage rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
950. W|jean|louis chave hermitage rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=949
951. W|jean|louis chave hermitage rouge 201820192021 syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
952. W|jean|louis chave hermitage rouge magnum|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
953. W|jean|louis chave marsanne roussanne hermitage rhone france|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
954. X
955. W|jean|louis chave saint joseph|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
956. W|jean|louis chave saint joseph blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
957. W|jean|louis chave saint joseph clos florentin|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
958. W|jean|louis chave saint joseph red|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
959. W|jean|louis chave selection cotesdurhone mon coeur|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
960. W|jean|louis chave selection crozes hermitage silene 2022 france|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
961. W|jean|louis chave selection crozes hermitage sybele 2022 french|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
962. W|jean|louis chave selection hermitage blanche 2019 france|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
963. W|jean|louis chave selection hermitage blanche 2020 france|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
964. W|jean|louis chave selection hermitage farconnet 2020 france|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
965. X
966. W|jean|louis chave selection saint joseph circa 2022 france|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
967. W|jean|louis chave st joseph 20192020 syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
968. W|jean|louis chave syrah hermitage rhone france|fr|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
969. W|jean|louis chave syrah saintjoseph rhone france|fr|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
970. W|jean|louis chavy bourgogne chardonnay|fr|w|chardonnay|bourgogne|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
971. X
972. W|jean|louis chavy puligny montrachet 1er cru les perrieres|??|r|??|??|??|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
973. X
974. W|jean|louis chavy puligny montrachet clavoillons premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
975. X
976. W|jean|louis chavy pulignymontrachet 1er cru|??|r|??|??|??|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
977. W|jean|louis chavy pulignymontrachet les charmes 1er cru|??|r|??|??|??|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
978. X
979. W|jean|louis cotes du rhone rouge|fr|r|??|cotes du rhone|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
980. W|jean|louis cuvee brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
981. W|jean|louis cuvee brut rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
982. X
983. W|jean|louis denois blanc de blancs brut nature|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
984. W|jean|louis denois classique brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
985. X
986. W|jean|louis denois cremant de limoux tradition brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
987. W|jean|louis denois les garrigues blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
988. W|jean|louis denois pinot nero brut rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
989. W|jean|louis denois vin de france rouge les garrigues|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
990. W|jean|louis dutraive domaine de la grandcour brouilly vieilles vignes|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
991. W|jean|louis dutraive domaine de la grandcour brouilly vieilles vignes|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
992. W|jean|louis dutraive domaine de la grandcour chirouble rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
993. W|jean|louis dutraive domaine de la grandcour fleurie|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
994. W|jean|louis dutraive domaine de la grandcour fleurie le clos cuvee vieilles vignes|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
995. W|jean|louis dutraive fleurie sans souffre|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
996. W|jean|louis et fabienne mann riesling pfersigberg|??|w|riesling|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
997. W|jean|louis grippat saint joseph|??|r|??|??|??|1978|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
998. W|jean|louis grippat saint joseph|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
999. W|jean|louis raillard bourgogne les paquiers|fr|r|??|bourgogne|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
1000. W|jean|louis raillard vosneromanee 1er cru les beauxmonts|??|r|??|??|??|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
