1. W|cara|sur field blend tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
970. W|caraway|seed|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
971. W|caraway|seed whole 30gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
972. W|caraway|seeds|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
973. W|caraway|seeds 750 grs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
974. W|caraway|seeds organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
975. W|caraway|with irish seaweed|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
976. W|carawheat|carawheat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
977. W|carawheat|malt weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
978. W|caraxes|brut de fut de la distillerie manguin|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
979. W|caraxes|de la distillerie manguin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
980. W|caray|crianza expresion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
981. W|caray|expresion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
982. W|caray|gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
983. W|caray|gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=982
984. W|caray|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
985. W|caray|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=984
986. W|carazita|500|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
987. W|carb|boom energy gel apple cinnamon single serve pack 41g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
988. W|carb|boom energy gel bananapeach single serve pack 41g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
989. W|carb|boom energy gel grape pomegranate single serve pack 41g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
990. W|carb|boom energy gel raspberry single serve pack 41g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
991. W|carb|boom energy gel strawberry kiwi single serve pack 41g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
992. W|carb|boom energy gel vanillaorange caffeine single serve pack 41g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
993. X
994. W|carballal|floreano albarino|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
995. W|carballal|prologo albarino|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
996. W|carballal|7 cepas albarino|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
997. W|carballal|albarino|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
998. W|carballal|cepas vellas|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
999. W|carballal|en rama albarino|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
1000. W|carballal|prologo albarino|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
