W|vinho|tinto niepoort museu dos lagares 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco arche primitivo di manduria dop|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco anticavigna amarone della valpolicella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco americano pinot noir woodbridge|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco amarone della valpolicella classico tommasi docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco alfacinha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco alese negroamaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco 7 colores cortejo carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco 7 colores cortejo c sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco 30 mile shiraz 2022 australia|??|r|shiraz|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco 30 mile cabernet sauv australia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meio seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto megafone|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mega spileo cuvee iii red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meg escorihuela gascon mlabec cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto medalla real gran reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meandro 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mchapoutier les meysonniers crozeshermitage safra 2022 13 2023 125|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mchapoutier les granilites rouge 13 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mchapoutier la bernardine chateauneuf du pape 2022 15|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mchapoutier belleruche cotesdurhone 20232024 145 135|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mc petit jardin franc 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei zisola sicilia noto rosso|it|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei terra mazzei|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei tenuta beuguardo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei siepi toscana|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei siepi toscana|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=882
W|vinho|tinto mazzei siepi 2021 toscana italia|it|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei siepi 2019 toscana italia|it|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei ser lapo chianti classico riserva|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei poggio badiola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei philip|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei fonterutolli chianti|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei fonterutoli n10|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei concerto di fonterutoli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei castello fonterutoli chianti classico|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei beugvardo tirrenico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei beugvardo bronzone|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazzei belgvardo tirrenico 14 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazoyereschambertin grand cru 2021|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mazoyereschambertin grand cru 2017|??|r|??|??|??|2017|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayta seleccion merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayos syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayos red lisboa 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayos red blend reserva especial|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayos pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayos malbec 2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayos desalcoolizado cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayos desalcoolizado cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=904
W|vinho|tinto mayos cabernet sauvignon desalcoolizado 2024|??|r|cabernet sauvignon|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayos cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayor de castilla reservacomprar|es|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayor de castilla crianzacomprar|es|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mayor alentejano jose de sousa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mavro kalavritino tetramythos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mauro vs 2021 ribera del duero|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mauro cosecha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mauro 2022 ribera del duero|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto matsu el recio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto matsu el recio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=915
W|vinho|tinto materdome doc 2007|??|r|??|??|??|2007|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto materdome 2009 douro|pt|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto materdome|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masterchef carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masterchef cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto master servant|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto master rabbit syrah kit 4 garrafas|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto master rabbit syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto master fun club malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto master fun club cabernet malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto master fan club cabernet sauvignon malbec 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto master blend 1865 selected collection san pedro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto massolino barolo margheria 2016 serralunga dalba italia|it|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masseto tenuta dellornellaia 2018 toscana italia|it|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masseto tenuta dellornellaia 2017 toscana italia|it|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masseto tenuta dellornellaia 2011 toscana italia|it|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masseto tenuta dellornellaia 2008 toscana italia|it|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masseto 2021 toscana|it|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masseto 2020 toscana|it|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masseria trajone montecore primitivo puglia igp|??|r|primitivo|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masseria settearchi aglianico|??|r|aglianico|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto massaluca garnacha e samso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli villa gemma montepulciano d abruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli villa gemma montepulciano d abruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=939
W|vinho|tinto masciarelli villa gemma montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli montepulciano dabruzzo doc linea classica|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli montepulciano dabruzzo doc linea classica|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=942
W|vinho|tinto masciarelli marina cvetic montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli marina cvetic montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=944
W|vinho|tinto masciarelli marina cvetic montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli marina cvetic merlot terre aquilane igt|??|r|merlot|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli marina cvetic merlot terre aquilane igt|??|r|merlot|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??|=947
W|vinho|tinto masciarelli marina cvetic merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli marina cvetic iskra 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli marina cvetic iskra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli linea classica montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli iskra marina cvetic montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli iskra marina cvetic montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=953
W|vinho|tinto masciarelli gianni montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto masciarelli gianni masciarelli montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marzarotto gran reserva tannat|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marysol doca rioja garnacha|es|r|??|rioja|??|NV|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marthas vinha do legado reserva 2019 doc douro|pt|r|??|??|??|2019|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marthas vinha do legado reserva 2019 1 doc douro|pt|r|??|??|??|2019|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marthas colheita doc 2022 doc douro|pt|r|??|??|??|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto martha s porto tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto martha s porto fine ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto marselan vinicola cavalleri|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marselan begamo vinicola cavalleri|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marselan arteviva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marselan 2023 tra nodo vinicola foppa ambrosicom pixcom pix4x desem juros|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marselan 2023 tra nodo vinicola foppa ambrosicom pixcom pix4x desem juros|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=967
W|vinho|tinto marselan 2023 tra nodo vinicola foppa ambrosi com pix com pix 4 x de sem juros|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marselan 2023 tra nodo vinicola foppa ambrosi|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marsannay saint urbain rouge 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marsannay rouge saint urbain 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marsannay mogotte monopole 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marsannay le chapitre 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marsannay le chapitre 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marsannay le chapitre 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marsannay le chapitre 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marquesa de alorna grande reserva 2019 tejo|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marquesa de alorna grande reserva 2016 tejo|??|r|??|??|??|2016|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de ulia crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de tomares reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de tomares gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de tomares excellence|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de tomares don roman|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de tomares crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal vina collada 2016 tempranillo espanhol la rioja|es|r|tempranillo|rioja|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal vina collada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal rioja reserva tempranillo 2020|es|r|tempranillo|rioja|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal rioja reserva tempranillo|es|r|tempranillo|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal rioja reserva red blend 2017|es|r|??|rioja|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal reserva xr|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal reserva xr|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=992
W|vinho|tinto marques de riscal reserva tempranillo|??|r|tempranillo|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal gran reserva tempranillo 2018|??|r|tempranillo|??|??|2018|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal baron de chirel 2015 rioja espanha|es|r|??|rioja|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal baron chirel tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de riscal 1860 tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de ramos tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de ramos crianza valencia do|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
