W|portugues quinta da lixa aromas das castas|castas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues arco|do esporao tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues arco da torre selecao de barricas|barricas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues arco da torre grande escolha|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues arca nova vinhao|tinto caixa 6 un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
X|=37
W|portugues ar cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ameal amarelo|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues amarante alvarinho|branco verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues alvarinho|santos da casa|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues alvarinho|santos da casa|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=936
W|portugues alvarinho quinta da lixa|lixa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alto vez frizzante sweet|rose garrafa|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|portugues alto vez frizzante sweet|branco garrafa|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|portugues alria|algarve branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues alria algarve|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alria algarve|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues alorna portas|do sol tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues almeida garrett entre serras|doc tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues almeida garrett entre serras|doc rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
X|=37
W|portugues alianca verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues alianca terra boa|boa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alianca quinta dos quatro ventos|douro doc|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues alianca|dao tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alianca bairrada|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues alianca bairrada|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues ali jo|douro reserva tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues ali jo|douro reserva tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco|=954
W|portugues alfacinha|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alfacinha|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues alfacinha|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=957
W|portugues alfacinha|blend tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alem|do rio rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues alem|do rio branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues alecrim|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alecrim|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=962
W|portugues alecrim|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues alecrim|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues alecrim|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=965
W|portugues aldeias das serras|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues aldeia saloia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues aldeia saloia|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues alandra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alandra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=970
W|portugues alandra esporao|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alandra esporao|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues alandra esporao|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues alandra|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues alabastro bacalhoa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues alabastro bacalhoa|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues alabastro bacalhoa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues adegamae pinta negra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues adegamae pinta negra|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues adegamae lisboa valley sellection|sellection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues adega ponte lima colheita selecionada|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues adega ponte lima alvarinho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues adega de palmela vale dos barris|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues adega de palmela chafariz dmaria|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues adega de palmela chafariz d maria|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues adega de moncao vinho|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues adega de moncao|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues adega de lisboa|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues adega de borba|rotulo cortica tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues adega da vila|tejo tinto|pt|r|??|tejo|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues adega da vila|tejo tinto|pt|r|??|tejo|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=991
W|portugues adega da vila|tejo tinto|pt|r|??|tejo|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=991
W|portugues adega da vila|tejo tinto|pt|r|??|tejo|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=991
W|portugues adega da vila|tejo branco|pt|w|??|tejo|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues adega da vila|tejo branco|pt|w|??|tejo|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=995
W|portugues adega da vila|tejo branco|pt|w|??|tejo|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=995
W|portugues a lenda|alentejo doc tinto|pt|r|??|alentejo|??|NV|14.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues 7 vidas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues 7 vidas|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues 3 autores verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues 3 autores|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues 200 anos independencia brasil|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues 20 anos taylors|porto tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
