W|large|leather purse black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle le|petit clos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle le|petit clos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=956
W|lapostolle le|parcelle 8 cabernet sauvignon apalta chile|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle le|parcelle 8 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle la|parcelle 8 vieilles vignes cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle la|parcelle 8 vieilles vignes apalta cabernet sauvignon apalta chile|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle la|parcelle 8 vieilles vignes apalta cabernet sauvignon apalta chile|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=961
W|lapostolle la|parcelle 8 vieilles vignes|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle la|parcelle 8 vieilles vignes|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle la|parcelle 8 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lapostolle la|parcelle 8|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle la|parcelle 8|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle la|parcelle 8|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle la|parcelle 8|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|jean baptiste 07|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grande reserve|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection sauvignon blanc x liquidacion|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|grand selection sauvignon blanc chile|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=974
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=974
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=974
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=974
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=980
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=980
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=980
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=980
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=980
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=980
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=980
W|lapostolle|grand selection sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=980
W|lapostolle|grand selection sauv blnc|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection sauv blnc|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=989
W|lapostolle|grand selection sauv blnc|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection merlot|??|r|merlot|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection merlot|??|r|merlot|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=992
W|lapostolle|grand selection merlot|??|r|merlot|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=992
W|lapostolle|grand selection merlot|??|r|merlot|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=992
W|lapostolle|grand selection merlot|??|r|merlot|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=992
W|lapostolle|grand selection merlot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection merlot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=997
W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapostolle|grand selection merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=999
