W|thomas barton|saintemilion aoc|fr|r|??|bordeaux|saint-emilion|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rose|portugues escapada vinho verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues ea cartuxa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues descobridores atlantico|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues coracao do minho doc verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues confidencial|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues conde alentejano|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues ciconia alentejo|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|portugues ciconia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues casal mendes doc verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues casa relvas pom pom|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues casa relvas pom pom|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=923
W|rose|portugues carmim putos doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues carmim putos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues carmim olaria suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|portugues carmim olaria suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec|=927
W|rose|portugues carmim olaria seco bag in box casa flora|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues calamares verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues biologico organico quinta da biaia 750 mourisco beira interior castelo rodrigo portugal|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues andreza altitude doc douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|portugues alentejano members mark|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues alecrim seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|portugues 5 elementos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
S|=486
W|rose|portugal pedra cancela touriga nacional dao|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|portugal flor das tecedeiras lilas douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|porto calem|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|rose|porto branco extra seco dop|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|rose|portal da estrela 2024 dao|pt|p|??|dao|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|portal da estrela|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|porta 6 2022 lisboa|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pormenor 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|popa 2018 douro|pt|p|??|douro|??|2018|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|ponte da barca pardalito vinho verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pnoi nebbiolo 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine vinovalie|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine vinovalie|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=948
W|rose|piscine vinovalie|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=948
W|rose|piscine vinivalle|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine stripes frances|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine stripes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine stripes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=953
W|rose|piscine sea sun rose franca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine sea sun|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine olympique vdf 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine franca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine copacabana edicao especial|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine copacabana|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine copacabana|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=960
W|rose|piscine 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=962
W|rose|piscine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|piscine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=964
W|rose|piscine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=964
W|rose|piscine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=964
W|rose|piscine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=964
W|rose|pipoli igp|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir vin de france diversos|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir tete de cuvee principal|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir tete de cuvee principal|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=971
W|rose|pinot noir special reserve cornellana|??|p|pinot noir|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir special reserve cornellana|??|p|pinot noir|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=973
W|rose|pinot noir special reserve cornellana|??|p|pinot noir|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=973
W|rose|pinot noir select castellamare|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir saurus|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir muskat vaz|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir massilia 2021 audace|??|p|pinot noir|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir lorange|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir gran reserva pedregoso tabali|??|p|pinot noir|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir garibaldi|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir faces lidio carraro|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir faces lidio carraro|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=983
W|rose|pinot noir faces lidio carraro|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=983
W|rose|pinot noir botanic series casas del bosque|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pinot noir botanic series casas del bosque|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=986
W|rose|pinot noir begamo vinicola cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|rose|pinot grigio ramato jcv villard|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pink rabbit kit 4 garrafas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pink rabbit 3 unidades|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pink pony grenache 2015|??|p|grenache|??|??|2015|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pink maremma toscana 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|pias|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|phenomena pinot noir 2020 douro|pt|p|pinot noir|douro|??|2020|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|phebusbodegas fabre estate malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|phebus|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|phebus|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=997
W|rose|phebus|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=997
W|rose|phaunus amphora palhete 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|petite note bleue|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|petalas cabernet franc|??|p|cabernet franc|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|periquita touriga nacional castelao aragonez 2017|??|p|??|??|??|2017|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|periquita 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
