1. W|jeanneret|big fine girl riesling|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
946. W|jeff|carrel igp cotes catalanes blanc|??|w|??|??|??|2018|12.5|igp|medio|peixes, frutos do mar, saladas|seco|=944
947. W|jeff|carrel igp cotes catalanes blanc|??|w|??|??|??|2020|12.5|igp|medio|peixes, frutos do mar, saladas|seco
948. W|jeff|carrel igp cotes catalanes blanc|??|w|??|??|??|2020|12.5|igp|medio|peixes, frutos do mar, saladas|seco|=947
949. W|jeff|carrel igp cotes catalanes blanc|??|w|??|??|??|2020|12.5|igp|medio|peixes, frutos do mar, saladas|seco|=947
950. W|jeff|carrel igp terres du midi rouge|??|r|??|??|??|2020|13.5|igp|medio|carnes vermelhas, cordeiro, queijos curados|seco
951. W|jeff|carrel igp terres du midi rouge|??|r|??|??|??|2020|13.5|igp|medio|carnes vermelhas, cordeiro, queijos curados|seco|=950
952. W|jeff|carrel igp terres du midi rouge|??|r|??|??|??|2020|13.5|igp|medio|carnes vermelhas, cordeiro, queijos curados|seco|=950
953. W|jeff|carrel la bette cotes du roussillon villages 2020 france|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
954. X
955. W|jeff|carrel la remontada 2022 france|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
956. W|jeff|carrel la remontada doube maceration vin de france|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
957. X
958. X
959. W|jeff|carrel la tire fitou 2023 france|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
960. W|jeff|carrel la tire fitou 2023 mwo|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
961. X
962. W|jeff|carrel lair du temps vin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
963. X
964. X
965. X
966. X
967. W|jeff|carrel les darons|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
968. W|jeff|carrel les darons languedoc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
969. W|jeff|carrel les darons languedoc 2023 france|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
970. W|jeff|carrel les darons languedoc france|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
971. W|jeff|carrel les darons languedoc gs blend|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
972. W|jeff|carrel les darons languedoc red blend|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
973. W|jeff|carrel les darons rouge|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
974. X
975. X
976. W|jeff|carrel les mamettes vin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
977. W|jeff|carrel morillon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
978. W|jeff|carrel morillon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=977
979. W|jeff|carrel morillon blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
980. W|jeff|carrel morillon blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=979
981. W|jeff|carrel morillon blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
982. W|jeff|carrel morillon blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=981
983. W|jeff|carrel morillon blanc 2024 france|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
984. W|jeff|carrel moussetache blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
985. W|jeff|carrel pinot gris en coteaux 2021 france|??|w|pinot gris|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
986. W|jeff|carrel pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
987. W|jeff|carrel pinot noir en coteaux|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
988. W|jeff|carrel pinot noir en coteaux|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
989. W|jeff|carrel piquepoul blanc 2023 france aka picpoul|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
990. W|jeff|carrel plein la vue sauvignon blanc 2022france|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
991. W|jeff|carrel rivesaltes ambre reserve personnelle 50cls bottle nv france|??|r|??|??|??|NV|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
992. X
993. X
994. X
995. W|jeff|carrel ultime recolte muscat 2023 france|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
996. X
997. W|jeff|carrel vieille mule rouge grenache|??|r|grenache|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
998. W|jeff|carrel vieille mule vin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
999. X
1000. X
