1. W|cardhu|12yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
965. W|carema|classico|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=964
966. W|carema|classico|??|r|??|??|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
967. W|carema|classico doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
968. W|carema|classico doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
969. W|carema|classico doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=968
970. W|carema|classico doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=968
971. W|carema|classico doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=968
972. W|carema|classico doc 2022 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
973. W|carema|classico doc 2022 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=972
974. W|carema|classico doc 2022 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=972
975. W|carema|classico doc 2022 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=972
976. W|carema|classico doc 2022 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=972
977. W|carema|classico doc 2022 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=972
978. W|carema|classico produttori del carema|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
979. W|carema|classico riserva doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
980. W|carema|classico riserva doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=979
981. W|carema|classico riserva doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=979
982. W|carema|classico riserva doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=979
983. W|carema|classico riserva doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=979
984. W|carema|classico riserva doc 2021 cantina produttori nebbiolo di carema|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=979
985. W|carema|doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
986. W|carema|doc|??|r|??|??|??|1976|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
987. W|carema|doc 2021 sorpasso|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
988. W|carema|doc 2022 sorpasso|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
989. W|carema|doc etichetta bianca|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
990. W|carema|doc etichetta bianca 2020 ferrando|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
991. W|carema|doc etichetta nera|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
992. W|carema|doc etichetta nera 2020 ferrando|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
993. W|carema|doc etichetta nera nebbiolo 2018 azienda vitivinicola ferrando|??|r|nebbiolo|??|??|2018|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
994. X
995. W|carema|doc sole e roccia 2022 monte maletto|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
996. W|carema|doc sole e roccia 2022 monte maletto|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=995
997. W|carema|doc sole e roccia 2022 monte maletto|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=995
998. W|carema|doc sole e roccia 2022 monte maletto|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=995
999. W|carema|doc sole e roccia 2022 monte maletto|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=995
1000. W|carema|doc sorpasso 2021 italie piemonte rood|it|r|??|piemonte|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
