W|ghost|block cabernet sauvignon single vineyard napa valley|us|r|cabernet sauvignon|california|napa valley|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=629
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=629
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=629
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=629
W|giacomo|conterno barolo cerretta cassa legno|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=835
W|giacomo|conterno barolo cerretta owc|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo docg francia|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo extra monfortino|it|r|??|barolo|barolo|1926|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=871
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia piedmont italy|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=880
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=880
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=880
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=880
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=885
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=887
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=887
W|giacomo|conterno barolo francia piemonte italien|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=891
W|giacomo|conterno barolo francia da 1 cassa legno|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia piemonte italien|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=904
W|giacomo|conterno barolo francia docg monforte|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=920
W|giacomo|conterno barolo francia doppio|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=934
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=934
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=934
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=934
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=934
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=934
W|giacomo|conterno barolo francia 3 litri doppio|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia cassa legno|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia cascina|it|r|??|barolo|barolo|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=934
W|giacomo|conterno barolo francia|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=943
W|giacomo|conterno barolo fransia|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|giacomo|conterno barolo missing vintage tag|it|r|??|barolo|barolo|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfertino riserva owc|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=951
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=955
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=958
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva 100pt|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1943|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1945|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1947|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1948|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1951|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1952|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1955|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=985
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=995
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=995
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=995
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=995
W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=995
