W|finca las|moras malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|2019 bodega mustiguillo|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=937
W|finca terrerazo|bobal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|magnum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|mustiguillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|vino de pago|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|vino de pago 2018 mustiguillo|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|vino de pago 2022 mustiguillo|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca terrerazo|vino de pago dop bio|??|r|??|??|??|NV|13.5|dop|medio|carne vermelha; queijo curado; massas|seco
W|finca tessman|albarino|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca tessmann|albarino|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca tessmann|albarino reserva|??|w|??|??|??|NV|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca tessmann|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca tessmann|tannat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tessmann|tannat gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca tinedo|syrah seleccion parcela 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca tinto|las moras bonarda|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tobella|ancients 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tobella|bocins blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca tobella|bocins negre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tobella|bocins negre priorat|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tobella|negre 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tobella|negre priorat 2021|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tobella|negre priorat catalonia spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tobella|priorat|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tobella|seleccio especial 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca tobella|seleccio especial 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=962
W|finca torralva|torralva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torrea|torrea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torrea|2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torrea|marques de riscal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilano|el porron|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|2020 penalba lopez blanco|??|w|??|??|??|2020|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca torremilanos|castilla y leon porron de lara|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|clarete ojo gallo ribera del duero castilla leon spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|coleccion rib 18|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|coleccion rib 18|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=973
W|finca torremilanos|coleccion ribera del duero 2018|es|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|crianza ribera del duero|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|crianza ribera del duero 2018|es|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|cyclo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|ei porron de lara tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|el porron de lara 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|los cantos de torremilanos ribera del duero 2021|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|montecastrillo 2023 ribera del duero spain|es|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|montecastrillo 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|montecastrillo ribera del duero spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|montecastrillo tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|montecastrillo tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=985
W|finca torremilanos|montecastrillo tinto 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|nv cava|es|s|??|??|??|NV|12|ava|leve|aperitivos; frutos do mar; canapes|brut
W|finca torremilanos|ojo de gallo rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca torremilanos|ojo gallo 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|ojo gallo rosado 2022|??|p|??|??|??|2022|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca torremilanos|ojo gallo rosado 2022|??|p|??|??|??|2022|12.5|??|leve|saladas; aves; queijos leves|seco|=991
W|finca torremilanos|penalba lopez|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|penalba lopez vino lopez blanco 2022 castilla y leon spain|es|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca torremilanos|ribera del duero crianza torremilanos 2020|es|r|??|??|??|2020|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|ribera del duero montecastrillo tinto|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca torremilanos|rosado monteca 2022|??|p|??|??|??|2022|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca torremilanos|torre albeniz reserva ribera del duero|es|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca torremolinos|cava penalba|es|s|??|??|??|NV|12|ava|leve|aperitivos; frutos do mar; canapes|brut
W|finca trapezio|grand barrel selection malbec 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
